question,difficulty
Which feature selection techniques do you know?,intermediate
What is a time series?,beginner
Which hyper-parameter tuning strategies (in general) do you know?,intermediate
How can we use CNN model for text classification?,advanced
How to predict the best time series?,beginner
When do we need random forest?,beginner
What kind of regularization techniques are applicable to linear models?,intermediate
Are there any differences between continuous and discrete variables when it comes to feature importance of gradient boosting models?,advanced
What are the possible solutions to the cold start problem?,intermediate
Do we want to have a constant learning rate or we better change it throughout training?,intermediate
What is gradient boosting trees?,intermediate
Possible approaches to solving the cold start problem?,advanced
How do you use XGBoost for text classification?,advanced
How can we use the CNN architecture for text classification?,advanced
How can we use neural nets for text classification?,advanced
What is the difference between CNN and RNN for text classification?,advanced
How do we use decision trees?,beginner
What are the advantages and disadvantages of bag of words?,intermediate
How do we evaluate classification models?,beginner
What is the difference between CNN and RNN architectures for text classification?,advanced
What is K-fold cross-validation? What can it tell us?,beginner
What do we do with categorical variables?,intermediate
What happens when the learning rate is too large? Too small?,beginner
How can we use CNN for text classification?,advanced
Can we use L2 regularization for feature selection?,intermediate
How do you use XGBoost for classification?,advanced
What is the difference between gradient boosting models and XGBoost?,advanced
What do we mean by supervised learning?,beginner
What’s the learning rate?,beginner
What is bag of words? How we can use it for text classification?,intermediate
What is the learning rate?,beginner
Do you know how to use GNNs for text classification?,advanced
What are the types of regression models?,beginner
You have a series with a variable “y” and a set of features. How do you predict “y” at t+1? Which approaches would you use?,intermediate
Which regularization techniques do you know?,intermediate
What’s singular value decomposition? How is it typically used for machine learning?,intermediate
How do you use GANs for text classification?,advanced
How can we use GANs for text classification?,advanced
What is the curse of dimensionality? Why do we care about it?,intermediate
What are the problems with using trees for solving time series problems?,intermediate
"How we can incorporate implicit feedback (clicks, etc) into our recommender systems?",intermediate
What’s the interpretation of the bias term in linear models?,intermediate
Do you know any other ways to get word embeddings?,advanced
Are CNNs resistant to rotations? What happens to the predictions of a CNN if an image is rotated?,advanced
How does L2 regularization look like in a linear model?,intermediate
How can we get training data for our ranking algorithms?,intermediate
How do we use XGBoost models?,advanced
What is logistic regression?,beginner
Which metrics for evaluating regression models do you know?,beginner
"What are the main differences between CNN, RNN and LSTMs for text classification?",advanced
Feature importance in gradient boosting trees — what are possible options?,intermediate
What is the difference between linear regression and logistic regression?,beginner
"How can we use pre-trained language models like BERT, RoBERTa, and GPT-3 to improve the performance of XGBoost?",advanced
How to select the number of trees in gradient boosting trees model?,intermediate
What if we want to build a neural network for text classification with bag of words features?,intermediate
Can we have both L1 and L2 regularization components in a linear model?,intermediate
How do we choose K in K-fold cross-validation? What’s your favorite K?,beginner
