question,answer,difficulty,topic,data_science_question
How do we decide when to stop training a neural net?,Simply stop training when the validation error is the minimum.,beginner,neural networks,1
Do you have any advice for someone who is interested in pursuing a career as an artist but not sure how to go about it?,,,,0
What are text classification models?,Answer here,advanced,text classification,1
I have a client who is in the process of selling her home. She would like to know if I can tell her what the “going rate” is for homes in her area. Is there a way to find this out?,,,,0
"If you have a sentence with multiple words, you may need to combine multiple word embeddings into one. How would you do it?","Approaches ranked from simple to more complex:

1. Take an average over all words
2. Take a weighted average over all words. Weighting can be done by inverse document frequency (idf part of tf-idf).
3. Use ML model like LSTM or Transformer.",intermediate,text classification,1
how do I know what to eat?,,,,0
How does time series differ from the usual regression problem?,Answer here,beginner,time series,1
What is the importance of machine learning in data science?,Answer here,intermediate,unsupervised learning,1
What are MSE and RMSE?,MSE stands for <strong>M</strong>ean <strong>S</strong>quare <strong>E</strong>rror while RMSE stands for <strong>R</strong>oot <strong>M</strong>ean <strong>S</strong>quare <strong>E</strong>rror. They are metrics with which we can evaluate models.,beginner,supervised learning,1
How do we select the optimal regularization parameter in linear models?,Answer here,intermediate,regularization,1
"What is the difference between an ""open"" and a ""closed"" API?",,,,0
What is the most important thing for you as a teacher?,,,,0
How do you use ranking algorithms for ranking?,Answer here,advanced,unsupervised learning,1
How can we use text classification with N-grams?,Answer here,advanced,text classification,1
Can you explain the cold start problem?,Answer here,intermediate,recommender systems,1
How do we use decision trees?,Answer here,beginner,feature selection,1
What is your favorite thing to do on a Saturday night?,,,,0
What is your favorite type of music to listen to?,,,,0
"How does one become an ""expert"" in the area of mathematics?",,,,0
How many times have you heard someone say “I can’t believe it’s not butter”?,,,,0
How many of you have had the experience of being in a conversation with someone and it just seems like they are not interested in what you are saying?,,,,0
How do we evaluate classification models?,"Depending on the classification problem, we can use the following evaluation metrics:

1. Accuracy
2. Precision
3. Recall
4. F1 Score
5. Logistic loss (also known as Cross-entropy loss)
6. Jaccard similarity coefficient score",beginner,classification,1
What happens to our linear regression model if the column z in the data is a sum of columns x and y and some random noise?,Answer here,intermediate,classification,1
How do you choose the K in K-fold cross-validation?,Answer here,beginner,supervised learning,1
What do we mean by regularization in linear models?,Answer here,intermediate,unsupervised learning,1
Do you know any methods to improve the performance of CNNs for text classification?,Answer here,advanced,text classification,1
How long does it take to make a good meal?,,,,0
2+2=4 but why?,,,,0
What do you think of the new version of Google Chrome?,,,,0
Do you have a favorite book that has changed your life?,,,,0
What are the different techniques used for time series?,Answer here,intermediate,time series,1
What is the purpose of dropout layer?,Answer here,advanced,neural networks,1
What is the difference between a B2B and a B2C?,,,,0
What is supervised and unsupervised learning?,Answer here,beginner,unsupervised learning,1
What is the difference between a “good” and a “great” book?,,,,0
how do you keep your car from rusting?,,,,0
How does time series differ from other types of analysis?,Answer here,beginner,time series,1
What do you think of this picture?,,,,0
"2+2=3
The answer to this question is simple, right?",,,,0
What is the difference between unsupervised and supervised learning?,Answer here,beginner,unsupervised learning,1
Is accuracy always a good metric?,"Accuracy is not a good performance metric when there is imbalance in the dataset. For example, in binary classification with 95% of A class and 5% of B class, a constant prediction of A class would have an accuracy of 95%. In case of imbalance dataset, we need to choose Precision, recall, or F1 Score depending on the problem we are trying to solve.",beginner,classification,1
What is the name of this little guy?,,,,0
What is the first thing you do when you get home from work?,,,,0
What are the steps involved in feature selection?,Answer here,beginner,feature selection,1
What is the role of regularization techniques in linear models?,Answer here,intermediate,regularization,1
What is your favourite thing to eat?,,,,0
What is the difference between random forest and gradient boosting tree models?,Answer here,intermediate,feature selection,1
"What is the name of the company that makes the ""Dremel""?",,,,0
What's a recommender system?,Answer here,beginner,recommender systems,1
How to select the depth of the trees in gradient boosting trees model?,Answer here,intermediate,feature selection,1
Do you want to see a picture of me?,,,,0
Do you know if there is a list of all the songs that have been used in movies TV shows or video games?,,,,0
What is the difference between supervised and unsupervised learning?,Answer here,beginner,unsupervised learning,1
What are the problems that can be solved using machine learning techniques?,Answer here,beginner,unsupervised learning,1
What is k-fold cross-validation?,Answer here,beginner,supervised learning,1
What are the unsupervised learning algorithms that can be used for dimensionality reduction?,Answer here,intermediate,unsupervised learning,1
What is the area under the PR curve?,Answer here,intermediate,classification,1
What is the difference between time series and regression?,Answer here,beginner,time series,1
Is it possible to get a copy of the text of the Gospel of John?,,,,0
Why do you feel the need to keep a blog?,,,,0
What are the main differences between gradient boosting trees and random forests?,Answer here,intermediate,feature selection,1
3/4 of the students in my class are non-native English speakers. Do you have any advice on how to help them?,,,,0
What is neural nets?,Answer here,intermediate,neural networks,1
How can we use text classification models like word embedding?,Answer here,advanced,text classification,1
What’s your favorite thing to do on the weekend?,,,,0
What is the most important aspect of your job as a pastor?,,,,0
Do you know how to use pre-trained word embeddings for NLP?,Answer here,advanced,text classification,1
How do you use gradient boosting trees for text classification?,Answer here,advanced,text classification,1
What’s the difference between clustering and dimension reduction?,Answer here,intermediate,unsupervised learning,1
What is cold start problem?,Answer here,intermediate,recommender systems,1
Do you have a favorite way to spend your free time?,,,,0
How do we interpret the coefficient of a linear model?,Answer here,intermediate,classification,1
