question,answer,difficulty,topic
How do we decide when to stop training a neural net?,Simply stop training when the validation error is the minimum.,beginner,neural networks
What are text classification models?,Answer here,advanced,text classification
"If you have a sentence with multiple words, you may need to combine multiple word embeddings into one. How would you do it?","Approaches ranked from simple to more complex:

1. Take an average over all words
2. Take a weighted average over all words. Weighting can be done by inverse document frequency (idf part of tf-idf).
3. Use ML model like LSTM or Transformer.",intermediate,text classification
How does time series differ from the usual regression problem?,Answer here,beginner,time series
What is the importance of machine learning in data science?,Answer here,intermediate,unsupervised learning
What are MSE and RMSE?,MSE stands for <strong>M</strong>ean <strong>S</strong>quare <strong>E</strong>rror while RMSE stands for <strong>R</strong>oot <strong>M</strong>ean <strong>S</strong>quare <strong>E</strong>rror. They are metrics with which we can evaluate models.,beginner,supervised learning
How do we select the optimal regularization parameter in linear models?,Answer here,intermediate,regularization
How do you use ranking algorithms for ranking?,Answer here,advanced,unsupervised learning
How can we use text classification with N-grams?,Answer here,advanced,text classification
Can you explain the cold start problem?,Answer here,intermediate,recommender systems
How do we use decision trees?,Answer here,beginner,feature selection
How do we evaluate classification models?,"Depending on the classification problem, we can use the following evaluation metrics:

1. Accuracy
2. Precision
3. Recall
4. F1 Score
5. Logistic loss (also known as Cross-entropy loss)
6. Jaccard similarity coefficient score",beginner,classification
What happens to our linear regression model if the column z in the data is a sum of columns x and y and some random noise?,Answer here,intermediate,classification
How do you choose the K in K-fold cross-validation?,Answer here,beginner,supervised learning
What do we mean by regularization in linear models?,Answer here,intermediate,unsupervised learning
Do you know any methods to improve the performance of CNNs for text classification?,Answer here,advanced,text classification
What are the different techniques used for time series?,Answer here,intermediate,time series
What is the purpose of dropout layer?,Answer here,advanced,neural networks
What is supervised and unsupervised learning?,Answer here,beginner,unsupervised learning
How does time series differ from other types of analysis?,Answer here,beginner,time series
What is the difference between unsupervised and supervised learning?,Answer here,beginner,unsupervised learning
Is accuracy always a good metric?,"Accuracy is not a good performance metric when there is imbalance in the dataset. For example, in binary classification with 95% of A class and 5% of B class, a constant prediction of A class would have an accuracy of 95%. In case of imbalance dataset, we need to choose Precision, recall, or F1 Score depending on the problem we are trying to solve.",beginner,classification
What are the steps involved in feature selection?,Answer here,beginner,feature selection
What is the role of regularization techniques in linear models?,Answer here,intermediate,regularization
What is the difference between random forest and gradient boosting tree models?,Answer here,intermediate,feature selection
What's a recommender system?,Answer here,beginner,recommender systems
How to select the depth of the trees in gradient boosting trees model?,Answer here,intermediate,feature selection
What is the difference between supervised and unsupervised learning?,Answer here,beginner,unsupervised learning
What are the problems that can be solved using machine learning techniques?,Answer here,beginner,unsupervised learning
What is k-fold cross-validation?,Answer here,beginner,supervised learning
What are the unsupervised learning algorithms that can be used for dimensionality reduction?,Answer here,intermediate,unsupervised learning
What is the area under the PR curve?,Answer here,intermediate,classification
What is the difference between time series and regression?,Answer here,beginner,time series
What are the main differences between gradient boosting trees and random forests?,Answer here,intermediate,feature selection
What is neural nets?,Answer here,intermediate,neural networks
How can we use text classification models like word embedding?,Answer here,advanced,text classification
Do you know how to use pre-trained word embeddings for NLP?,Answer here,advanced,text classification
How do you use gradient boosting trees for text classification?,Answer here,advanced,text classification
What’s the difference between clustering and dimension reduction?,Answer here,intermediate,unsupervised learning
What is cold start problem?,Answer here,intermediate,recommender systems
How do we interpret the coefficient of a linear model?,Answer here,intermediate,classification
How do we select the number of trees in random forest model?,Answer here,intermediate,feature selection
What are good baselines when building a recommender system?,"* A good recommer system should give relevant and personalized information.
* It should not recommend items the user knows well or finds easily.
* It should make diverse suggestions.
* A user should explore new items.",intermediate,recommender systems
What are the problems with using trees for solving time series problems?,Random Forest models are not able to extrapolate time series data and understand increasing/decreasing trends. It will provide us with average data points if the validation data has values greater than the training data points.,intermediate,time series
Do you know any other ways to get word embeddings?,"- TF-IDF
- GloVe
- BERT",advanced,text classification
What are the core principles of a good recommender system?,Answer here,beginner,recommender systems
What are the differences between gradient boosting trees and XGBoost?,Answer here,advanced,feature selection
How do you find the mean and standard deviation of a set of numbers?,Answer here,intermediate,unsupervised learning
Do you have any experience in using XGBoost for text classification?,Answer here,advanced,text classification
How do you approach the problem of building recommender systems?,Answer here,intermediate,recommender systems
What is the difference between XGBoost and LightGBM in terms of accuracy?,Answer here,advanced,feature selection
How do we use the regression model?,Answer here,beginner,supervised learning
"What are precision, recall, and F1-score?","* Precision and recall are classification evaluation metrics:
* P = TP / (TP + FP) and R = TP / (TP + FN).
* Where TP is true positives, FP is false positives and FN is false negatives
* In both cases the score of 1 is the best: we get no false positives or false negatives and only true positives.
* F1 is a combination of both precision and recall in one score (harmonic mean):
* F1 = 2 * PR / (P + R).
* Max F score is 1 and min is 0, with 1 being the best.",beginner,classification
What are the advantages and disadvantages of bag of words?,"Advantages:
1. Simple to understand and implement.

Disadvantages:
1. The vocabulary requires careful design, most specifically in order to manage the size, which impacts the sparsity of the document representations.
2. Sparse representations are harder to model both for computational reasons (space and time complexity) and also for information reasons
3. Discarding word order ignores the context, and in turn meaning of words in the document. Context and meaning can offer a lot to the model, that if modeled could tell the difference between the same words differently arranged (“this is interesting” vs “is this interesting”), synonyms (“old bike” vs “used bike”).",intermediate,text classification
What are the problems you can face when building a recommender system?,Answer here,intermediate,recommender systems
What is the difference between an algorithm and a program?,Answer here,intermediate,unsupervised learning
"How do you calculate the expected value of a random variable, given its probability distribution?",Answer here,intermediate,supervised learning
What is the difference between linear regression and ridge regression?,Answer here,beginner,supervised learning
How can we use unsupervised learning techniques for recommender systems?,Answer here,intermediate,unsupervised learning
What are the key differences between supervised and unsupervised machine learning techniques?,Answer here,beginner,unsupervised learning
What are recommender systems? What do we use them for?,Answer here,beginner,recommender systems
What is the role of machine learning in data science?,Answer here,beginner,supervised learning
Can we use L1 regularization for feature selection?,"Yes, because the nature of L1 regularization will lead to sparse coefficients of features. Feature selection can be done by keeping only features with non-zero coefficients.",intermediate,feature selection
Is feature selection important for linear models?,"Yes, It is. It can make model performance better through selecting the most importance features and remove irrelevant features in order to make a prediction and it can also avoid overfitting, underfitting and bias-variance tradeoff.",intermediate,feature selection
How do regularization techniques like L1 and L2 work?,Answer here,intermediate,regularization
What is unsupervised learning?,Unsupervised learning aims to detect patterns in data where no labels are given.,beginner,unsupervised learning
What are the possible solutions to the cold start problem?,Answer here,intermediate,recommender systems
How can we use machine learning techniques for ranking?,Answer here,intermediate,unsupervised learning
What do you mean by “data mining”?,Answer here,intermediate,unsupervised learning
How do we use SGD (stochastic gradient descent) for training a neural net?,"SGD approximates the expectation with few randomly selected samples (instead of the full data). In comparison to batch gradient descent, we can efficiently approximate the expectation in large data sets using SGD. For neural networks this reduces the training time a lot even considering that it will converge later as the random sampling adds noise to the gradient descent.",intermediate,neural networks
What is the difference between gradient boosting trees and XGBoost?,Answer here,advanced,feature selection
How do you evaluate your regression models?,Answer here,beginner,supervised learning
Do you know any other ways to use word embeddings?,Answer here,advanced,text classification
What is time series and how it is different from the regression?,Answer here,beginner,time series
How can we use word embeddings for NLP tasks?,Answer here,advanced,text classification
What are the advantages and disadvantages of machine learning algorithms?,Answer here,intermediate,unsupervised learning
How large should be N for our bag of words when using N-grams?,Answer here,intermediate,text classification
How do we interpret the regularization parameters in linear models?,Answer here,intermediate,regularization
What is random forest? When do we need it?,Answer here,beginner,feature selection
What is the difference between K-fold cross-validation and Leave-one-out cross-validation?,Answer here,beginner,supervised learning
What are the main differences between CNN and RNN?,Answer here,advanced,neural networks
What is the cold start problem? What can cause it?,Answer here,intermediate,recommender systems
Can you give an example of how you would use word embeddings for text classification?,Answer here,advanced,text classification
How do you deal with time series problems?,Answer here,beginner,time series
Is logistic regression a linear model? Why?,"Yes, Logistic Regression is considered a generalized linear model because the outcome always depends on the sum of the inputs and parameters. Or in other words, the output cannot depend on the product (or quotient, etc.) of its parameters.",beginner,classification
What is classification problem?,Answer here,beginner,classification
How do you determine which machine learning model is best for the given problem?,Answer here,beginner,supervised learning
How would you use word embeddings for text classification?,Answer here,advanced,text classification
You are building a new machine learning model for your company. What is the first thing you would do to ensure that the model will work well on your data?,Answer here,intermediate,supervised learning
How do you decide when to stop training a neural net?,Answer here,beginner,neural networks
Is there any difference between linear models and logistic regression?,Answer here,intermediate,classification
How would you use bag of words for text classification with bag of words?,Answer here,advanced,text classification
Explain the importance of building a recommender system and how it can help companies to build their business?,Answer here,advanced,recommender systems
How to handle missing values in linear models?,Answer here,intermediate,regularization
What are the different approaches that can be used to build recommender systems?,Answer here,intermediate,recommender systems
What are the main types of regularization techniques in linear models?,Answer here,intermediate,regularization
How would you approach the cold start problem in recommender systems?,Answer here,intermediate,recommender systems
How do we compute the L2 regularization parameter for linear models?,Answer here,intermediate,regularization
What are the benefits of using GPUs for training deep neural nets?,Answer here,intermediate,neural networks
What’s the difference between L2 and L1 regularization?,"- Penalty terms: L1 regularization uses the sum of the absolute values of the weights, while L2 regularization uses the sum of the weights squared.
- Feature selection: L1 performs feature selection by reducing the coefficients of some predictors to 0, while L2 does not.
- Computational efficiency: L2 has an analytical solution, while L1 does not.
- Multicollinearity: L2 addresses multicollinearity by constraining the coefficient norm.",intermediate,regularization
How can we deal with the imbalanced class distribution in machine learning?,Answer here,beginner,supervised learning
What do you know about linear regression?,Answer here,beginner,supervised learning
How do we select the right regularization parameters?,"Regularization parameters can be chosen using a grid search, for example https://scikit-learn.org/stable/modules/linear_model.html has one formula for the implementing for regularization, alpha in the formula mentioned can be found by doing a RandomSearch or a GridSearch on a set of values and selecting the alpha which gives the least cross validation or validation error.",beginner,regularization
How do we use unsupervised learning for ranking?,Answer here,intermediate,unsupervised learning
Possible approaches to solving the problem of unsupervised learning?,Answer here,intermediate,unsupervised learning
What is supervised machine learning?,"Supervised learning is a type of machine learning in which our algorithms are trained using well-labeled training data, and machines predict the output based on that data. Labeled data indicates that the input data has already been tagged with the appropriate output. Basically, it is the task of learning a function that maps the input set and returns an output. Some of its examples are: Linear Regression, Logistic Regression, KNN, etc.",beginner,supervised learning
"Given a dataset, how do you determine the number of unique values in each column?",Answer here,intermediate,classification
What is the best way to use word embeddings for document classification?,Answer here,advanced,text classification
What is accuracy?,Accuracy is a metric for evaluating classification models. It is calculated by dividing the number of correct predictions by the number of total predictions.,beginner,classification
What is the concept of “batch” in machine learning?,Answer here,beginner,unsupervised learning
What are the different types of feature selection methods available in scikit-learn?,Answer here,intermediate,feature selection
What is the difference between supervised learning and unsupervised learning?,Answer here,beginner,unsupervised learning
Do you know how to use CNNs for text classification?,Answer here,advanced,text classification
What is recommender systems?,Answer here,beginner,recommender systems
What is linear regression and what are its advantages?,Answer here,beginner,supervised learning
How do we handle categorical variables in decision trees?,"Some decision tree algorithms can handle categorical variables out of the box, others cannot. However, we can transform categorical variables, e.g. with a binary or a one-hot encoder.",intermediate,feature selection
Which regularization techniques do you know?,"There are mainly two types of regularization,
1. L1 Regularization (Lasso regularization) - Adds the sum of absolute values of the coefficients to the cost function. <img src=""https://render.githubusercontent.com/render/math?math=\lambda\sum_{i=1}^{n} \left | w_i 
ight |"">
2. L2 Regularization (Ridge regularization) - Adds the sum of squares of coefficients to the cost function. <img src=""https://render.githubusercontent.com/render/math?math=\lambda\sum_{i=1}^{n} {w_{i}}^{2}"">

* Where <img src=""https://render.githubusercontent.com/render/math?math=\lambda""> determines the amount of regularization.",intermediate,regularization
How would you handle the cold start problem?,Answer here,intermediate,recommender systems
What are the advantages of using word embeddings?,Answer here,advanced,text classification
What is the probability that a random sample of 5 items drawn from a bag will contain at least one red item?,Answer here,intermediate,supervised learning
How would you use machine learning for text classification with embeddings?,Answer here,intermediate,text classification
What is Time Series?,Answer here,beginner,time series
How to select the number of trees in Random Forest?,Answer here,intermediate,feature selection
Why do we need to use AU PR?,Answer here,intermediate,classification
How would you use bag of words for text classification?,Answer here,intermediate,text classification
How can you use N-grams for text classification?,Answer here,advanced,text classification
What is the difference between clustering and classification?,Answer here,beginner,unsupervised learning
What are the benefits of using Python to do machine learning in production?,Answer here,beginner,unsupervised learning
How do you deal with the curse of dimensionality in machine learning?,Answer here,intermediate,unsupervised learning
What’s the cold start problem?,Answer here,intermediate,recommender systems
What is the difference between unsupervised learning and supervised learning?,Answer here,beginner,unsupervised learning
How do we deal with missing values in machine learning models?,Answer here,intermediate,supervised learning
"How do you select the best feature importance metrics for XGBoost or LightGBM in terms of accuracy, F1 score, etc?",Answer here,advanced,feature selection
What is the difference between Random Forest and Gradient Boosting Trees?,Answer here,intermediate,feature selection
What regularization techniques do we have?,Answer here,intermediate,regularization
What is the difference between random forest model and gradient boosting tree model?,Answer here,intermediate,feature selection
How do we decide when to stop training?,Answer here,beginner,neural networks
What is the PR (precision-recall) curve?,A *precision*-*recall curve* (or PR Curve) is a plot of the precision (y-axis) and the recall (x-axis) for different probability thresholds. Precision-recall curves (PR curves) are recommended for highly skewed domains where ROC curves may provide an excessively optimistic view of the performance.,intermediate,classification
What is the contrastive learning method?,Answer here,intermediate,supervised learning
What is the difference between text classification and text clustering?,Answer here,advanced,text classification
What are the main types of time series?,Answer here,intermediate,time series
What are the different types of recommender systems?,Answer here,beginner,recommender systems
How can we use the gradient boosting trees for text classification?,Answer here,advanced,text classification
What methods for solving linear regression do you know?,"To solve linear regression, you need to find the coefficients <img src=""https://render.githubusercontent.com/render/math?math=eta""> which minimize the sum of squared errors.

Matrix Algebra method: Let's say you have `X`, a matrix of features, and `y`, a vector with the values you want to predict. After going through the matrix algebra and minimization problem, you get this solution: <img src=""https://render.githubusercontent.com/render/math?math=eta = (X^{T}X)^{-1}X^{T}y"">. 

But solving this requires you to find an inverse, which can be time-consuming, if not impossible. Luckily, there are methods like Singular Value Decomposition (SVD) or QR Decomposition that can reliably calculate this part <img src=""https://render.githubusercontent.com/render/math?math=(X^{T}X)^{-1}X^{T}""> (called the pseudo-inverse) without actually needing to find an inverse. The popular python ML library `sklearn` uses SVD to solve least squares.

Alternative method: Gradient Descent. See explanation below.",intermediate,supervised learning
