question,topic
What is collaborative filtering?,recommender systems
What kind of CNN architectures for classification do you know?,neural networks
How can we deal with the imbalanced class distribution in machine learning?,supervised learning
What is time series and how it is different from the regression?,time series
What’s a convolutional layer?,neural networks
What is mean average precision at k?,unsupervised learning
What is neural nets?,neural networks
What do we need to know about bias-variance trade-off?,supervised learning
What is the K-fold cross-validation technique?,supervised learning
"How do you calculate the expected value of a random variable, given its probability distribution?",supervised learning
What are the advantages of random forest regression model compared to gradient boosting tree model?,feature selection
What’s your favorite metric for evaluating regression models?,supervised learning
How do we deal with multicollinearity in linear models?,regularization
What is time series and what are the different types?,time series
How do we interpret the weights of linear models?,regularization
What is the difference between gradient boosting tree and random forest models?,feature selection
What do we mean by regression analysis?,unsupervised learning
What are the most common challenges of building recommender systems?,recommender systems
Which is the most popular machine learning algorithm?,unsupervised learning
How can we know which features are more important for the decision tree model?,feature selection
Which feature selection techniques do you know?,feature selection
Is there a way to evaluate how well our models perform on unseen data?,regularization
How to select the number of trees in Random Forest?,feature selection
What is the difference between regression and time series?,time series
What is precision and recall at k?,unsupervised learning
What methods for solving linear regression do you know?,supervised learning
What are the main assumptions of linear regression?,supervised learning
Why do we need convolutional layers?,neural networks
How to evaluate the performance of a model?,classification
What is transfer learning?,neural networks
What’s the difference between random forest and gradient boosting?,feature selection
What’s the L2 regularization term in linear models?,regularization
What would be the best way to approach this problem?,unsupervised learning
What is regression? Which models can you use to solve a regression problem?,supervised learning
What is the K-fold Cross Validation?,supervised learning
What is time series and what are the applications of time series?,time series
"Given a dataset, how do you determine the number of unique values in each column?",classification
How do we deal with the overfitting problem in linear models?,supervised learning
How to choose the best regularization parameter?,regularization
What is sigmoid? What does it do?,classification
What is the difference between random forest and gradient boosting tree model?,feature selection
What is time series analysis?,time series
What happens to our linear regression model if the column z in the data is a sum of columns x and y and some random noise?,classification
What is unsupervised learning and how can we use it for NLP tasks?,unsupervised learning
"If you are an analyst, what is the difference between linear regression and logistic regression?",classification
What are the tools used for time series analysis?,time series
What is classification problem?,classification
What is the difference between bag of words and word embedding?,text classification
What is bag of words? How we can use it for text classification?,text classification
What's the difference between k-means clustering and k-medoids clustering?,unsupervised learning
What is the difference between random forest and gradient boosting tree models?,feature selection
What is the difference between time series and non time series?,time series
How can we use machine learning techniques for recommender systems?,recommender systems
How do I find the minimum and maximum values of a column in Python?,classification
How do we know when to use convolutional layers and when to use fully connected layers?,neural networks
What is the bias-variance trade-off?,supervised learning
What is the importance of using unsupervised learning algorithms for recommendation systems?,unsupervised learning
What is the difference between linear models and generalized linear models?,regularization
Can you explain what is the difference between linear regression and logistic regression?,classification
How do we select the optimal number of trees in Random Forest model?,feature selection
What is the difference between time series and non-time series?,time series
What is ReLU? How is it better than sigmoid or tanh?,neural networks
Cold start problem?,recommender systems
How do we select the number of trees in random forest model?,feature selection
What is precision-recall trade-off (PR curve)?,classification
What’s the difference between L1 and L2 regularization parameters?,regularization
What’s k-fold cross-validation?,supervised learning
What are the different approaches to building recommender systems?,recommender systems
What is the difference between random forest model and gradient boosting tree model?,feature selection
How do you predict time series?,time series
What is an activation function?,neural networks
Is there any difference between random forest model and gradient boosting tree model in terms of feature importance?,feature selection
What are augmentations? Why do we need them?,neural networks
What is Linear Regression?,supervised learning
What is the difference between Linear Regression and Ridge Regression?,supervised learning
"How do you deal with unstructured data, and how do you make use of the information in it?",unsupervised learning
How can we deal with categorical features in gradient boosting models?,feature selection
What is the role of machine learning in business intelligence?,unsupervised learning
What are some of the most common types of machine learning algorithms used in industry today?,unsupervised learning
What’s the interpretation of the bias term in linear models?,regularization
What’s the interpretation of regularization parameters in linear models?,regularization
What are the main components of gradient boosting trees models?,feature selection
How can you use neural nets for text classification?,text classification
What is the difference between statistical learning and machine learning?,supervised learning
How to evaluate performance of classification models?,classification
What are the types of time series?,time series
Which regularization techniques do you know?,regularization
How can we use deep learning for ranking?,unsupervised learning
"Can we use linear models to estimate the effect of an independent variable on a response variable. If yes, then how can we do it?",regularization
What is the difference between Gradient Boosting Trees and Random Forests?,feature selection
What is recommender systems?,recommender systems
What is the difference between a linear regression model and a logistic regression model?,classification
How would you use machine learning for text classification with n-grams?,text classification
What is the difference between k-fold cross-validation and Leave One Out (LOO) cross-validation?,supervised learning
How can we use machine learning for text classification?,text classification
What is the difference between random forest and gradient boosting trees?,feature selection
"What are precision, recall, and F1-score?",classification
Tell me about the difference between linear regression and logistic regression?,classification
What do you mean by overfitting?,unsupervised learning
How would you use machine learning for text classification with embeddings?,text classification
What is the difference between Linear Regression and Logistic Regression?,classification
How do you deal with missing values in time series?,time series
Is there any difference between linear regression and logistic regression?,classification
What are the most common approaches to building recommender systems?,recommender systems
What is convolutional layer?,neural networks
What are some problems with using trees for solving time series problems?,time series
What is the area under the PR curve? Is it a useful metric?,classification
What is Machine Learning?,unsupervised learning
Why do we use convolutional layers?,neural networks
How do we solve time series problems?,time series
Can we use cross-validation to estimate the test error?,supervised learning
What are the advantages of using word embeddings?,text classification
What kind of regularization techniques are applicable to linear models?,regularization
How do we interpret L1 regularization coefficients?,regularization
What is the difference between bagging and random forest model in gradient boosting trees?,feature selection
"What is the difference between machine learning, deep learning, and natural language processing?",supervised learning
What are the problems in time series?,time series
How to select K for K-means?,unsupervised learning
How does L2 regularization look like in a linear model?,regularization
How do we deal with categorical variables in the decision tree?,feature selection
What are the differences between random forest and gradient boosting trees?,feature selection
How do we interpret weights in linear models?,regularization
What is k-fold cross-validation?,supervised learning
What is the difference between regression analysis and prediction?,supervised learning
What is the difference between supervised learning and unsupervised learning?,unsupervised learning
What is the main difference between convolutional layers and fully connected layers?,neural networks
What's recommender system?,recommender systems
3 baselines approaches to cold start problem?,recommender systems
What regularization techniques do we know?,regularization
How would you evaluate your ranking algorithms? Which offline metrics would you use?,unsupervised learning
What are the different types of recommender systems and how do they differ from each other?,recommender systems
